UNIX_timestamp,prices,market_caps,total_volumes
1.53904E+12,0.999345032,2786297378,70625466.28
1.53913E+12,0.997484237,2781073506,64067243.09
1.53922E+12,0.995281565,2773726365,62179023.2
1.5393E+12,0.998605693,2783485294,176485624.5
1.53939E+12,0.998112728,2782596918,103905900.5
1.53948E+12,0.997730287,2780610027,60636644.17
1.53956E+12,0.996022757,2780058251,50247059.92
1.53965E+12,0.985557289,2741743089,246203418
1.53973E+12,0.982514019,2738404240,108158181.8
1.53982E+12,0.988698823,2755618646,88978845.57
1.53991E+12,0.987648614,2754104126,72237743.49
1.53999E+12,0.994665019,2771835186,91279264.7
1.54008E+12,0.993341343,2769255516,53175762.92
1.54017E+12,0.992972462,2767264867,42000080.94
1.54025E+12,0.994066217,2770816158,85638828.46
1.54034E+12,0.990453712,2087254167,76219991.7
1.54043E+12,0.991683906,2039936497,87281638.96
1.54051E+12,0.991389686,2040926053,63012137.76
1.5406E+12,0.992397675,2041779778,85023001.61
1.54068E+12,0.994038792,2045854212,52224601.42
1.54077E+12,0.996633239,2050417737,66459633.92
1.54086E+12,0.994210288,2045435957,74861264.51
1.54094E+12,0.99830334,2054102038,70119495.43
1.54103E+12,0.998641134,2054728481,63741585.12
1.54112E+12,0.997378423,2055110924,70780437.08
1.5412E+12,0.998522231,2054366246,39349133.68
1.54129E+12,1.000456433,2058355653,51519514.38
1.54138E+12,0.975541554,2006976009,66787759.05
1.54146E+12,0.994108795,2045255261,48925897.53
1.54155E+12,0.995305243,2047204954,61192287.53
1.54164E+12,0.998705401,2051069806,71896266.08
1.54172E+12,0.999180365,2056799409,59362584.39
1.54181E+12,0.998278275,2052590304,56743017.36
1.54189E+12,0.998941589,2049517477,34412495.83
1.54198E+12,0.996160129,2052518489,42381038.42
1.54207E+12,0.992501041,2043198070,42732465.87
1.54215E+12,0.989900984,2036466264,68534471.2
1.54224E+12,0.982372534,2018746895,103210110.6
1.54233E+12,0.988950012,2035600553,114761798.7
1.54241E+12,0.992325521,2038204380,51790107.2
1.5425E+12,0.992526647,2042210996,40965729.91
1.54259E+12,0.995165148,2047424658,38180508.05
1.54267E+12,0.987266687,2024353861,101413121.4
1.54276E+12,0.982057655,2018791813,137399678.6
1.54284E+12,0.991084259,2038363322,86199284.89
1.54293E+12,0.986874726,2038890911,60328754.91
1.54302E+12,0.993092395,2043144656,93265358.87
1.5431E+12,0.984677214,2025847078,77977736.45
1.54319E+12,0.991247484,2039979024,156596336.8
1.54328E+12,0.989343596,2033889118,108959964.5
1.54336E+12,0.989460177,2035739633,67512914.74
1.54345E+12,0.995538531,2047193813,118364345.8
1.54354E+12,0.99843716,2055234817,66594394.96
1.54362E+12,0.995025206,2047049156,67160998.07
1.54371E+12,0.996166627,2050841698,55586732.72
1.5438E+12,0.993234116,2041915651,59864263.94
1.54388E+12,0.997650791,2052538550,74868433.54
1.54397E+12,0.997493364,2052214663,68013063.92
1.54405E+12,0.990204528,2037218818,76903862.01
1.54414E+12,0.98446467,2037768260,98986730.86
1.54423E+12,1.00193566,2060263852,122179571.8
1.54431E+12,1.00078265,2052773624,85964641.57
1.5444E+12,0.989259842,2034843481,95271331.72
1.54449E+12,0.998786855,2056095154,52934504.73
1.54457E+12,0.999285581,2055901920,74853904.43
1.54466E+12,0.998623061,2053482907,54668847.72
